Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Парасюк,Пантелеймон,Іванович,Чоловік,2003-10-15,Провізор,село Батурин,"узвіз Садова 3-тя, буд. 52, Нова Одеса, 39572",+380 32 384 59 04,iprotsenko@example.org
Ґалаґан,Веніямин,Олександрович,Чоловік,1990-05-03,Секретар,село Білогірськ,"узвіз Амбулаторний 2-й, буд. 4 кв. 771, Генічеськ, 72390",+380 (41) 421-56-29,hzakharchenko@example.com
Чайка,Левко,Андрійович,Чоловік,1980-02-25,Паблік рилейшнз,селище Дрогобич,"провулок Професора Каришковського, буд. 695 кв. 5, Городня, 14844",+380 (28) 568-96-03,hordii96@example.org
Павлик,Геннадій,Степанович,Чоловік,2001-05-14,Електромонтажник,село Вовчанськ,"площа Шкіперська, буд. 9, Носівка, 43701",094 92 22,kostiantyniemets@example.org
Романець,Трохим,Олександрович,Чоловік,1956-10-16,Кушнір,село Кремінна,"провулок Самодіяльна, буд. 0 кв. 90, Златопіль, 39722",016 856 59 41,iakymenkovalentyn@example.org
Вітер,Феофан,Михайлович,Чоловік,1996-05-18,Ботанік,село Буськ,"проспект Джутовий, буд. 1 кв. 3, Нововолинськ, 32726",027 254-82-14,panasfastenko@example.net
Зубко,Опанас,Володимирович,Чоловік,1992-07-03,Ді-джей,село Семенівка,"сквер Костанді 3-й, буд. 9, Саки, 81248",085 428 44 29,herman05@example.com
Швайка,Давид,Васильович,Чоловік,1952-03-23,Реабілітолог,місто Прилуки,"вулиця Мазепи Івана, буд. 2, Авдіївка, 12241",071 084-60-04,rudkovitalii@example.com
Каденюк,Леонтій,Вікторович,Чоловік,1949-12-27,Візажист,місто Токмак,"сквер Володимира Антоновича, буд. 5, Овруч, 87438",058 759 73 21,khoma08@example.com
Теліженко,Демид,Романович,Чоловік,1968-09-09,Бібліотекар,село Валки,"узвіз Бахчева, буд. 4 кв. 95, Борислав, 99973",+380 68 350-97-41,danna04@example.org
Сірченко,Борислав,Олександрович,Чоловік,1952-01-09,Реабілітолог,хутір Нікополь,"площа Косовська, буд. 30, Оріхів, 81029",671 79 46,solomonartymyshyna@example.net
Бандурка,Феофан,Григорович,Чоловік,1970-07-22,Круп'є,селище Ічня,"шосе Лютнева, буд. 6, Радехів, 03630",+380 39 243 35 48,halynafurs@example.com
Гаврюшенко,Спас,Степанович,Чоловік,1963-03-07,Стоматолог,селище Берислав,"узвіз Джутовий, буд. 62, Новоград-Волинський, 39905",+380 82 443-00-28,fbaida@example.net
Абраменко,Демʼян,Михайлович,Чоловік,1939-10-13,Гицель,хутір Святогірськ,"сквер Китобійний 2-й, буд. 20, Тячів, 78244",+380 (25) 401-50-43,liliiakabanenko@example.com
Баран,Ігнат,Олександрович,Чоловік,2003-04-21,Золотар,селище Очаків,"сквер Березовий, буд. 5, Буринь, 30852",+380 (47) 827-84-74,kovaliukhavrylo@example.com
Радченко,Аарон,Олексійович,Чоловік,1958-05-11,Машиніст,селище Городок,"проспект Джерельна, буд. 2, Калуш, 68876",+380 10 356-68-52,feofanteslenko@example.com
Вівчаренко,Мирослав,Степанович,Чоловік,1979-11-10,Археолог,хутір Костянтинівка,"сквер Цегельнозаводська, буд. 3, Скалат, 73379",168 17 63,vchekaliuk@example.net
Гайдай,Орхип,Олексійович,Чоловік,2004-08-22,Дипломат,хутір Івано-Франківськ,"набережна Куяльницький міст, буд. 981 кв. 16, Дубровиця, 07632",+380 62 599 48 59,ievacharnysh@example.net
Туркало,Роман,Павлович,Чоловік,1953-10-13,Різноробочий,місто Петрово-Красносілля,"провулок 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 82 кв. 8, Кам'янка-Дніпровська, 02339",691 87 85,myroslavmazepa@example.net
Яковенко,Гаврило,Васильович,Чоловік,1964-10-20,Водій,селище Хмельницький,"парк Крижанівський, буд. 5 кв. 49, Амвросіївка, 20151",015 673-87-63,mykytataran@example.com
Чміль,Юхим,Дмитрович,Чоловік,1996-10-01,Програміст,хутір Чернігів,"провулок Куниці, буд. 389 кв. 941, Приморськ, 27985",973 17 76,alevtynpetrenko@example.com
Бакуменко,Йосип,Романович,Чоловік,1965-07-31,Психолог,село Джанкой,"провулок Героїв Зміїного, буд. 9 кв. 222, Сорокине, 12042",+380 60 324 89 92,hzakusylo@example.com
Дейсун,Степан,Васильович,Чоловік,2001-01-23,Промисловець,місто Глухів,"набережна Василя Кандинського 1-й, буд. 7, Шостка, 98725",008 015 04 33,symonenkobohdan@example.org
Данькевич,Петро,Васильович,Чоловік,1948-07-04,Складальник,місто Верхньодніпровськ,"набережна Лузанівська, буд. 68, Торецьк, 18159",729 08 40,vlokhpanas@example.com
Чабан,Гліб,Макарович,Чоловік,1939-04-12,Доцент,село Приморськ,"узвіз Тролейбусна, буд. 55, Бахмач, 89929",095 523-55-52,iatseniukpylyp@example.net
Ґерета,Спас,Михайлович,Чоловік,1952-11-07,Кур'єр,хутір Перевальськ,"провулок Маланова, буд. 084 кв. 78, Теплодар, 82594",+380 76 394-27-85,qbazylevych@example.com
Гузенко,Степан,Іванович,Чоловік,1992-05-14,Диригент,селище Христинівка,"площа Деревообробний 5-й, буд. 443, Ходорів, 92593",867 37 44,vitalii18@example.org
Андрійчук,Охрім,Степанович,Чоловік,1990-07-08,Електрослюсар,хутір Решетилівка,"парк Пiвденний, буд. 6 кв. 447, Горішні Плавні, 93955",032 196-60-42,liudmyla82@example.net
Канівець,Богуслав,Олегович,Чоловік,1966-09-16,Бібліограф,село Київ,"шосе Лінія 55-та, буд. 717 кв. 1, Ровеньки, 86990",+380 98 423-95-88,davydilchenko@example.org
Петрик,Дмитро,Олегович,Чоловік,1943-01-07,Епідеміолог,село Обухів,"проспект Троїцька, буд. 54 кв. 412, Тернівка, 11872",+380 47 902-91-04,pylypchmil@example.net
Зубко,Леонтій,Олексійович,Чоловік,1978-10-23,Стропальник,місто Полтава,"набережна Леся Курбаса, буд. 67 кв. 0, Златопіль, 53598",112-92-44,deinekahalyna@example.net
Скопенко,Валерій,Федорович,Чоловік,1984-07-13,Кінокритик,село Жашків,"сквер Вокзальний, буд. 49, Коростень, 57834",+380 67 363-92-98,havrylo93@example.org
Єрьоменко,Артем,Григорович,Чоловік,1976-09-30,Епідеміолог,селище Куп'янськ,"узвіз Товарний, буд. 9, Новояворівськ, 25114",949-72-55,kashchenkomakar@example.net
Фартушняк,Венедикт,Макарович,Чоловік,1980-10-31,Клоун,хутір Мерефа,"вулиця Маразліївська, буд. 0 кв. 66, Володимир-Волинський, 88930",+380 (81) 825-70-43,yandriishyna@example.net
Данченко,Онисим,Андрійович,Чоловік,1996-03-27,Епідеміолог,селище Ковель,"провулок Сухолиманна, буд. 07 кв. 4, Вовчанськ, 28641",+380 51 158 22 00,serhiiivanchenko@example.org
Шутько,Орест,Федорович,Чоловік,1988-08-04,Ріелтор,селище Носівка,"узвіз Василя Кандинського 4-й, буд. 26 кв. 86, Городенка, 62632",094 146 55 45,albertatroshchenko@example.net
Авраменко,Яків,Сергійович,Чоловік,1971-07-17,Державний службовець,хутір Чистякове,"провулок Різовська, буд. 821, Суходільськ, 18398",+380 99 320-08-63,mamchurbohdanna@example.net
Олійник,Владислав,Іванович,Чоловік,2000-06-07,Мистецтвознавець,місто Рахів,"узвіз Університетський, буд. 263 кв. 6, Луганськ, 60487",038 161 26 07,odarka16@example.net
Ващенко-Захарченко,Григорій,Андрійович,Чоловік,2006-10-23,Кінорежисер,місто Старокостянтинів,"вулиця Світлий, буд. 296 кв. 22, Галич, 60533",+380 63 283 42 49,oisaienko@example.com
Чуприна,Климент,Васильович,Чоловік,1975-08-27,Золотар,хутір Люботин,"шосе Грецька, буд. 0, Бібрка, 35860",352 62 43,mykhailo14@example.org
Твердохліб,Валерій,Сергійович,Чоловік,1982-07-15,Музичний редактор,селище Золоте,"проспект Проектуєма, буд. 5 кв. 16, Севастополь, 58121",093 825 97 00,veresmykolai@example.net
Хомик,Пилип,Григорович,Чоловік,1961-11-20,Мінералог,хутір Борщів,"шосе Шептицького, буд. 3, Зборів, 50026",167 65 12,violettalahoda@example.net
Ажажа,Костянтин,Олегович,Чоловік,2004-07-23,Фольклорист,місто Рава-Руська,"вулиця Романтиків, буд. 37, Камінь-Каширський, 06853",+380 (20) 724-51-47,zabashtamykolai@example.org
Носаченко,Мартин,Михайлович,Чоловік,1990-07-24,Бібліограф,хутір Таврійськ,"площа Травневий 2-й, буд. 639 кв. 31, Винники, 13987",+380 (19) 539-73-78,iustenko@example.com
Деряжний,Геннадій,Богданович,Чоловік,2000-08-19,Єгер,місто Красногорівка,"парк Люстдорфська дорога, буд. 2, Рожище, 96353",+380 97 198-34-59,tbaida@example.org
Цюпа,Орхип,Сергійович,Чоловік,1991-10-14,Євнух,село Тараща,"узвіз 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Молочанськ, 16774",314 00 03,ashapoval@example.net
Дахно,Єлисей,Григорович,Чоловік,1952-05-01,Історик,селище Щастя,"вулиця 4-та Лінія Марії Демченко, буд. 979 кв. 827, Шумськ, 49449",744-40-71,lsachenko@example.org
Запорожець,Вʼячеслав,Степанович,Чоловік,1996-11-05,Дизайнер,селище Ізяслав,"набережна Різдвяна, буд. 1 кв. 857, Хотин, 48142",638 36 86,isheremeta@example.net
Чуприна,Орест,Петрович,Чоловік,1988-08-20,Ботанік,селище Берестин,"провулок Ялинковий, буд. 67 кв. 60, Тальне, 17469",+380 79 129 19 45,albina80@example.com
Дергач,Владислав,Вікторович,Чоловік,1982-04-15,Петрограф,село Ніжин,"парк Ялинковий, буд. 9 кв. 4, Чистякове, 41685",+380 05 348-91-55,nosachenkoihor@example.net
Атаманюк,Онисим,Романович,Чоловік,1969-12-06,Астронавт,хутір Гребінка,"сквер Селекційний, буд. 801 кв. 41, Олександрія, 43685",023 836-22-71,babarychenkolarysa@example.net
Ковалюк,Трохим,Олегович,Чоловік,1958-12-30,Швачка,місто Жидачів,"набережна Владислава Домбровського, буд. 7, Моспине, 50591",+380 (76) 039-16-99,venedyktfastenko@example.com
Абраменко,Марко,Андрійович,Чоловік,1969-05-19,Громадський діяч,село Дергачі,"вулиця Балтська дорога, буд. 291, Глухів, 99186",+380 98 173 03 94,lkalenychenko@example.org
Ярема,Аврелій,Макарович,Чоловік,1957-08-03,Каскадер,село Миколаїв,"сквер Бібліотечна, буд. 147, Золочів, 73912",+380 42 229-55-13,solomonmoskal@example.com
Ляшко,Ігор,Романович,Чоловік,2006-08-15,Публіцист,село Новодружеськ,"шосе Південна дорога, буд. 43, Таврійськ, 66218",610 82 84,marusia65@example.com
Абрамчук,Григорій,Дмитрович,Чоловік,1942-06-02,Пекар,хутір Володимир-Волинський,"набережна Гвоздичний, буд. 9 кв. 587, Іловайськ, 60207",+380 95 224 44 09,albertieshchenko@example.com
Данильчук,Герман,Андрійович,Чоловік,2004-03-14,Реставратор,місто Буськ,"узвіз Парковий, буд. 49, Лозова, 08233",+380 32 630 59 97,ustym16@example.com
Безбородько,Тимофій,Романович,Чоловік,1952-06-23,Мікробіолог,селище Дебальцеве,"шосе Акордна, буд. 1 кв. 323, Заводське, 70899",639 72 09,mariana50@example.org
Барабаш,Теодор,Іванович,Чоловік,2004-11-07,Головний меркшейдер,хутір Бердичів,"проспект Лазурний 4-й, буд. 82 кв. 9, Валки, 72930",485 71 59,havryshkevychdanylo@example.net
Бабʼяк,Пилип,Романович,Чоловік,1969-03-02,Лікар,село Кам'янка-Бузька,"сквер Жасминна, буд. 5 кв. 356, Апостолове, 46517",788 04 11,fareniuksolomon@example.net
Ємельяненко,Остап,Федорович,Чоловік,1971-07-10,Патологоанатом,село Свалява,"проспект Сашка Хорошенка, буд. 8 кв. 35, Голубівка, 32557",967-78-28,jpetrenko@example.net
Закусило,Антон,Вікторович,Чоловік,1993-11-19,Журналіст,село Красногорівка,"сквер 8-ма Лінія Дачі Ковалевського, буд. 298, Монастирище, 55482",934 25 11,ielyseibalaban@example.net
Штокало,Євген,Богданович,Чоловік,2001-12-09,Науковець,хутір Ямпіль,"провулок Лінія 29-та, буд. 24, Сватове, 16290",562 44 28,sdemianenko@example.com
Бабариченко,Іван,Олексійович,Чоловік,1956-08-22,Льотчик,хутір Козятин,"вулиця Юннатів, буд. 4 кв. 30, Кременчук, 11564",+380 74 251-46-83,tsiupaliliia@example.net
Козак,Єфрем,Олександрович,Чоловік,2004-09-21,Архітектор,селище Кобеляки,"проспект Навігаційний, буд. 7, Тростянець, 11388",001 015 47 73,leon09@example.net
Кабаненко,Остап,Олександрович,Чоловік,2004-08-11,Програміст,село Ровеньки,"площа Аеропортівський 1-й, буд. 157, Старокостянтинів, 33762",005 693-99-54,jzaporozhets@example.net
Гаврилишин,Григорій,Олексійович,Чоловік,2007-02-28,Перекладач,хутір Стрий,"набережна Лінія 55-та, буд. 35, Винники, 11906",510 42 66,demiancherinko@example.com
Іщак,Орхип,Романович,Чоловік,1950-10-11,Різноробочий,село Переяслав,"вулиця Дніпропетровська дорога, буд. 1 кв. 163, Красногорівка, 87959",+380 (30) 954-51-52,leopolddrobiazko@example.com
Кабаненко,Хома,Павлович,Чоловік,1969-10-05,Мінералог,селище Українськ,"площа Прорізний, буд. 75, Барвінкове, 66701",+380 37 711-63-00,mmalyshko@example.net
